unix,date,symbol,open,high,low,close,Volume USD,Volume NEO
1699833600000,2023-11-13 0:00:00,NEO/USD,12.521,12.857,11.513,11.621,72114.43634,6205.527608
1699747200000,2023-11-12 0:00:00,NEO/USD,12.76,12.76,12.153,12.46,66338.69297,5324.132662
1699660800000,2023-11-11 0:00:00,NEO/USD,13.851,14.325,12.693,12.91,198730.2288,15393.51114
1699574400000,2023-11-10 0:00:00,NEO/USD,12.78,15,12.532,13.749,452616.1172,32919.92997
1699488000000,2023-11-09 0:00:00,NEO/USD,13.019,15.1,11.22,12.794,646746.9349,50550.79998
1699401600000,2023-11-08 0:00:00,NEO/USD,12.591,13.164,12.087,13.164,107589.0479,8172.975383
1699315200000,2023-11-07 0:00:00,NEO/USD,13.137,13.286,12.379,12.519,140481.6612,11221.47626
1699228800000,2023-11-06 0:00:00,NEO/USD,13.084,14.166,12.735,13.177,237191.3169,18000.4035
1699142400000,2023-11-05 0:00:00,NEO/USD,11.241,15.464,11.115,13.213,449715.2336,34035.81575
1699056000000,2023-11-04 0:00:00,NEO/USD,10.034,11.529,10.015,11.384,439952.9632,38646.60605
1698969600000,2023-11-03 0:00:00,NEO/USD,9.5564,10.251,9.0485,10.053,135597.1454,13488.22694
1698883200000,2023-11-02 0:00:00,NEO/USD,10.221,10.713,9.3898,9.5294,443683.3144,46559.41763
1698796800000,2023-11-01 0:00:00,NEO/USD,9.5676,10.2,9.13,10.2,120473.8712,11811.16385
1698710400000,2023-10-31 0:00:00,NEO/USD,9.0421,9.5852,8.4331,9.5531,130837.6832,13695.8352
1698624000000,2023-10-30 0:00:00,NEO/USD,9.2893,9.3853,8.915,9.0539,163054.8227,18009.34654
1698537600000,2023-10-29 0:00:00,NEO/USD,9.3291,9.4114,9.0425,9.137,35473.86992,3882.441712
1698451200000,2023-10-28 0:00:00,NEO/USD,8.829,9.8178,8.829,9.3353,81793.99255,8761.795823
1698364800000,2023-10-27 0:00:00,NEO/USD,8.3258,9.1862,8.106,8.8114,228175.7543,25895.51652
1698278400000,2023-10-26 0:00:00,NEO/USD,7.7876,8.3545,7.4294,8.2986,120213.0652,14485.94524
1698192000000,2023-10-25 0:00:00,NEO/USD,7.8379,7.9252,7.5411,7.7395,22377.62823,2891.353218
1698105600000,2023-10-24 0:00:00,NEO/USD,7.7383,8.05,7.427,7.781,166661.6926,21419.05829
1698019200000,2023-10-23 0:00:00,NEO/USD,7.199,7.7416,7.1976,7.6837,430341.4126,56007.05553
1697932800000,2023-10-22 0:00:00,NEO/USD,7.0113,7.1892,6.9051,7.1847,26782.92783,3727.772604
1697846400000,2023-10-21 0:00:00,NEO/USD,6.8184,7.095,6.7869,7.0171,38975.28851,5554.329925
1697760000000,2023-10-20 0:00:00,NEO/USD,6.6054,6.897,6.5998,6.7876,13549.6539,1996.236357
1697673600000,2023-10-19 0:00:00,NEO/USD,6.7338,6.7659,6.4871,6.5914,89590.23567,13591.9889
1697587200000,2023-10-18 0:00:00,NEO/USD,6.891,6.9738,6.7355,6.7355,24158.24859,3586.704564
1697500800000,2023-10-17 0:00:00,NEO/USD,7.064,7.0675,6.7493,6.8918,23420.68196,3398.34034
1697414400000,2023-10-16 0:00:00,NEO/USD,6.9007,7.5085,6.8908,7.0662,126839.6766,17950.19623
1697328000000,2023-10-15 0:00:00,NEO/USD,6.8757,6.9471,6.8519,6.8797,50824.21167,7387.562201
1697241600000,2023-10-14 0:00:00,NEO/USD,6.8268,6.9106,6.8239,6.8941,1671.214422,242.4122687
1697155200000,2023-10-13 0:00:00,NEO/USD,6.7517,6.8792,6.7318,6.8145,4705.170369,690.4645049
1697068800000,2023-10-12 0:00:00,NEO/USD,6.7034,6.7805,6.6251,6.7636,21461.26865,3173.054091
1696982400000,2023-10-11 0:00:00,NEO/USD,6.7837,6.8105,6.61,6.7271,19189.12095,2852.510139
1696896000000,2023-10-10 0:00:00,NEO/USD,6.877,6.8969,6.7359,6.7865,13784.88892,2031.22212
1696809600000,2023-10-09 0:00:00,NEO/USD,7.1588,7.1657,6.6547,6.877,67253.72411,9779.51492
1696723200000,2023-10-08 0:00:00,NEO/USD,7.2094,7.2277,7.0945,7.1592,6824.070014,953.1889057
1696636800000,2023-10-07 0:00:00,NEO/USD,7.127,7.2032,7.1072,7.2032,26750.68949,3713.722996
1696550400000,2023-10-06 0:00:00,NEO/USD,7.046,7.173,6.9971,7.1387,9533.595871,1335.480672
1696464000000,2023-10-05 0:00:00,NEO/USD,7.1522,7.1712,7.0146,7.0498,18306.90774,2596.79817
1696377600000,2023-10-04 0:00:00,NEO/USD,7.1584,7.1845,6.9,7.1602,31793.8751,4440.361317
1696291200000,2023-10-03 0:00:00,NEO/USD,7.3501,7.5081,7.1457,7.1855,46839.12293,6518.561398
1696204800000,2023-10-02 0:00:00,NEO/USD,7.6198,7.6573,7.2101,7.3641,30782.83792,4180.122204
1696118400000,2023-10-01 0:00:00,NEO/USD,7.3477,7.6754,7.3449,7.6194,11993.26552,1574.0433
1696032000000,2023-09-30 0:00:00,NEO/USD,7.3474,7.4039,7.2395,7.3466,19309.43754,2628.350194
1695945600000,2023-09-29 0:00:00,NEO/USD,7.3258,7.4209,7.252,7.3531,18089.09892,2460.064315
1695859200000,2023-09-28 0:00:00,NEO/USD,7.1933,7.3578,7.1846,7.3344,9176.922706,1251.216556
1695772800000,2023-09-27 0:00:00,NEO/USD,7.2159,7.3501,7.1321,7.1897,17264.8738,2401.334381
1695686400000,2023-09-26 0:00:00,NEO/USD,7.2861,7.2861,7.0737,7.2007,8714.191464,1210.186713
1695600000000,2023-09-25 0:00:00,NEO/USD,7.2592,7.4022,7.2266,7.2715,16206.313,2228.744138
1695513600000,2023-09-24 0:00:00,NEO/USD,7.4454,7.4487,7.2433,7.2528,20889.79601,2880.238805
1695427200000,2023-09-23 0:00:00,NEO/USD,7.5912,7.6964,7.3811,7.4413,35108.67921,4718.0841
