unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1635724800000,2021-11-01 0:00:00,BTC/USD,61326,62491.21298,59522,60949,293321326.8,4812.569965
1635638400000,2021-10-31 0:00:00,BTC/USD,61879,62415,60005,61330,148355799.2,2418.976019
1635552000000,2021-10-30 0:00:00,BTC/USD,62264,62353,60755,61880,138656330.3,2240.72932
1635465600000,2021-10-29 0:00:00,BTC/USD,60579,62980,60188,62257.71552,244304044.3,3924.076594
1635379200000,2021-10-28 0:00:00,BTC/USD,58438,62444,57606,60598,488766852.1,8065.725801
1635292800000,2021-10-27 0:00:00,BTC/USD,60285,61450,57950,58449.27881,417086138.4,7135.864581
1635206400000,2021-10-26 0:00:00,BTC/USD,63100,63332.60745,59766,60288,286318945.2,4749.186326
1635120000000,2021-10-25 0:00:00,BTC/USD,60832,63666,60632,63100,234382150.6,3714.455636
1635033600000,2021-10-24 0:00:00,BTC/USD,61296,61476,59533,60847,175062085.6,2877.086554
1634947200000,2021-10-23 0:00:00,BTC/USD,60706,61764,59755,61302,166203400.2,2711.223128
1634860800000,2021-10-22 0:00:00,BTC/USD,62199,63729,60013,60706,385658320,6352.886371
1634774400000,2021-10-21 0:00:00,BTC/USD,66021,66643,61855,62219.49466,832170423.1,13374.75381
1634688000000,2021-10-20 0:00:00,BTC/USD,64263.93176,66958,63535,66021,611462536.4,9261.637001
1634601600000,2021-10-19 0:00:00,BTC/USD,62007,64421,61368,64263,587843711.5,9147.467617
1634515200000,2021-10-18 0:00:00,BTC/USD,61508,62682,59883,61994,530689291.9,8560.333127
1634428800000,2021-10-17 0:00:00,BTC/USD,60867,61698,59019,61504,316342369.1,5143.443827
1634342400000,2021-10-16 0:00:00,BTC/USD,61686,62333,60171,60868,260688993.3,4282.857878
1634256000000,2021-10-15 0:00:00,BTC/USD,57352,62900,56881,61680,733022378.1,11884.2798
1634169600000,2021-10-14 0:00:00,BTC/USD,57369,58488,56855,57354,263516961.7,4594.569894
1634083200000,2021-10-13 0:00:00,BTC/USD,56000,57775,54300,57368,175415053.2,3057.71603
1633996800000,2021-10-12 0:00:00,BTC/USD,57470,57661,53837.51997,56009,332640175.5,5939.048643
1633910400000,2021-10-11 0:00:00,BTC/USD,54679,57821,54430,57489,432248022.1,7518.795285
1633824000000,2021-10-10 0:00:00,BTC/USD,54978,56450,54114,54691,319261461.1,5837.550256
1633737600000,2021-10-09 0:00:00,BTC/USD,53947,55475,53678,54968,134229574.5,2441.958494
1633651200000,2021-10-08 0:00:00,BTC/USD,53797,56000,53628,53947,295796270.8,5483.090271
1633564800000,2021-10-07 0:00:00,BTC/USD,55335,55349,53429,53797.03311,266043091.3,4945.31159
1633478400000,2021-10-06 0:00:00,BTC/USD,51497,55743,50438,55335,582244350,10522.17132
1633392000000,2021-10-05 0:00:00,BTC/USD,49252,51922,49065,51508,344160670.1,6681.693526
1633305600000,2021-10-04 0:00:00,BTC/USD,48241,49503,46897,49252,304859583.7,6189.790947
1633219200000,2021-10-03 0:00:00,BTC/USD,47649,49196,47120,48242,173862949,3603.974731
1633132800000,2021-10-02 0:00:00,BTC/USD,48157,48350,47438,47649,98363985.22,2064.345216
1633046400000,2021-10-01 0:00:00,BTC/USD,43829,48464,43311,48151,400652918.8,8320.760083
1632960000000,2021-09-30 0:00:00,BTC/USD,41539,44122,41432,43830,222564882.4,5077.911987
1632873600000,2021-09-29 0:00:00,BTC/USD,41046,42606,40804,41530,182270090.3,4388.877687
1632787200000,2021-09-28 0:00:00,BTC/USD,42181,42777,40928,41064,253092960.7,6163.378159
1632700800000,2021-09-27 0:00:00,BTC/USD,43188,44355.99144,42135,42181,179876054.9,4264.385739
1632614400000,2021-09-26 0:00:00,BTC/USD,42714,43963,40800,43190,238642990.2,5525.422325
1632528000000,2021-09-25 0:00:00,BTC/USD,42861,42986.84667,41728,42714,126452916.2,2960.455968
1632441600000,2021-09-24 0:00:00,BTC/USD,44893,45164.48676,40755,42856,504097238.3,11762.58256
1632355200000,2021-09-23 0:00:00,BTC/USD,43575,45000,43102,44884.68321,237288079.8,5286.615897
1632268800000,2021-09-22 0:00:00,BTC/USD,40748,44000,40601,43574,367495242,8433.819296
1632182400000,2021-09-21 0:00:00,BTC/USD,43025,43625,39678,40747.95941,609586672.1,14959.93127
1632096000000,2021-09-20 0:00:00,BTC/USD,47244,47327,42567,43025,543257469.7,12626.55362
1632009600000,2021-09-19 0:00:00,BTC/USD,48319,48370.29415,46837,47239,107581202.2,2277.381024
1631923200000,2021-09-18 0:00:00,BTC/USD,47296.15646,48819,47066,48308,98879736.26,2046.860484
1631836800000,2021-09-17 0:00:00,BTC/USD,47782,48183,46771,47296,117868683.4,2492.14909
1631750400000,2021-09-16 0:00:00,BTC/USD,48137.7681,48530,47061,47782,172346432.9,3606.932169
1631664000000,2021-09-15 0:00:00,BTC/USD,47134,48444,46724,48137,191820976.5,3984.896785
1631577600000,2021-09-14 0:00:00,BTC/USD,44958,47238.51709,44699,47152,166084443.7,3522.320234
1631491200000,2021-09-13 0:00:00,BTC/USD,46039,46874,43444,44960,394127372.8,8766.178221
1631404800000,2021-09-12 0:00:00,BTC/USD,45169.76934,46466,44774.17968,46038.87432,155980878.8,3388.025469
1631318400000,2021-09-11 0:00:00,BTC/USD,44851,45990,44750,45169,114952072.2,2544.932857
1631232000000,2021-09-10 0:00:00,BTC/USD,46396,47044,44155,44852,232367904.2,5180.770182
1631145600000,2021-09-09 0:00:00,BTC/USD,46054,47398.57959,45546,46389,178757819.8,3853.452754
1631059200000,2021-09-08 0:00:00,BTC/USD,46854,47351,44472,46070.61739,347971547,7553.003774
1630972800000,2021-09-07 0:00:00,BTC/USD,52672,52888,43220,46849,781733698,16686.24086
1630886400000,2021-09-06 0:00:00,BTC/USD,51779,52742,51050,52676,255117129,4843.137842
1630800000000,2021-09-05 0:00:00,BTC/USD,49899,51900,49470,51780,286815309.5,5539.113741
1630713600000,2021-09-04 0:00:00,BTC/USD,50001,50544,49401,49899,118198036,2368.745586
1630627200000,2021-09-03 0:00:00,BTC/USD,49273.73785,51142,48332,50001,366715956.3,7334.172442
1630540800000,2021-09-02 0:00:00,BTC/USD,48827,50365,48631,49274,244011192.3,4952.128755
1630454400000,2021-09-01 0:00:00,BTC/USD,47142,49139,46590,48823,278649676.3,5707.344413
1630368000000,2021-08-31 0:00:00,BTC/USD,47003.46706,48244,46725,47157,202821841.8,4300.991196
1630281600000,2021-08-30 0:00:00,BTC/USD,48801,48924.6646,46903,47004.84288,193813518.6,4123.267024
1630195200000,2021-08-29 0:00:00,BTC/USD,48913.97696,49650,47760,48800,197435776.8,4045.815099
1630108800000,2021-08-28 0:00:00,BTC/USD,49079,49310,48385.91723,48914,112540504.2,2300.783093
1630022400000,2021-08-27 0:00:00,BTC/USD,46836,49159,46363,49079,284448146.1,5795.720086
1629936000000,2021-08-26 0:00:00,BTC/USD,48992.29077,49385,46310,46840,303469286.2,6478.84898
1629849600000,2021-08-25 0:00:00,BTC/USD,47696.45551,49255,47142.96628,48992.74928,201795944,4118.89406
1629763200000,2021-08-24 0:00:00,BTC/USD,49523,49860,47555,47698,227641172,4772.551721
1629676800000,2021-08-23 0:00:00,BTC/USD,49267,50558,49055,49525,268511659.8,5421.739724
1629590400000,2021-08-22 0:00:00,BTC/USD,48835,49488,48075,49266,135297937.9,2746.274061
1629504000000,2021-08-21 0:00:00,BTC/USD,49333,49788,48219,48837,191537934.9,3921.984048
1629417600000,2021-08-20 0:00:00,BTC/USD,46766,49400,46647,49330.49713,298208219.3,6045.108739
1629331200000,2021-08-19 0:00:00,BTC/USD,44721,47061,43992,46765,278977880.8,5965.527227
1629244800000,2021-08-18 0:00:00,BTC/USD,44692,46010,44266,44721,260162624.4,5817.459905
1629158400000,2021-08-17 0:00:00,BTC/USD,45932.90308,47167,44441,44695,309880481.1,6933.22477
1629072000000,2021-08-16 0:00:00,BTC/USD,47023,48069,45689,45937,278391287.5,6060.284466
1628985600000,2021-08-15 0:00:00,BTC/USD,47084,47369,45471,47022,180157588.2,3831.346779
1628899200000,2021-08-14 0:00:00,BTC/USD,47836,48141,45935,47084,204903733.8,4351.87609
1628812800000,2021-08-13 0:00:00,BTC/USD,44413,47967,44266,47835,353429140,7388.50507
1628726400000,2021-08-12 0:00:00,BTC/USD,45530,46186,43786,44424,250766177.1,5644.835609
1628640000000,2021-08-11 0:00:00,BTC/USD,45611,46727,45341,45531,197088310.2,4328.662015
1628553600000,2021-08-10 0:00:00,BTC/USD,46280.0255,46695,44635,45612,290337761.2,6365.381066
1628467200000,2021-08-09 0:00:00,BTC/USD,43782.46903,46438,42790,46282.21851,496271289,10722.72041
1628380800000,2021-08-08 0:00:00,BTC/USD,44569,45250,43300,43793,357602985.4,8165.75675
1628294400000,2021-08-07 0:00:00,BTC/USD,42853,44698,42380,44568,415465585.6,9322.060349
1628208000000,2021-08-06 0:00:00,BTC/USD,40890,43385,39900,42854,276878906.3,6460.981618
1628121600000,2021-08-05 0:00:00,BTC/USD,39738,41352,37318,40887,263105882.3,6434.951997
1628035200000,2021-08-04 0:00:00,BTC/USD,38219,39965,37519.81412,39743,145967524.1,3672.785752
1627948800000,2021-08-03 0:00:00,BTC/USD,39154,39781,37663,38217,194045026.2,5077.453129
1627862400000,2021-08-02 0:00:00,BTC/USD,39873,40449,38716,39149.45626,180828843.7,4618.936276
1627776000000,2021-08-01 0:00:00,BTC/USD,41440,42532,39493,39867,363392230.5,9115.113514
1627689600000,2021-07-31 0:00:00,BTC/USD,42196.27399,42398,41051,41439,210873319.7,5088.764682
1627603200000,2021-07-30 0:00:00,BTC/USD,40040,42299.15231,38343,42214.50801,327886854.4,7767.160386
1627516800000,2021-07-29 0:00:00,BTC/USD,40017,40623,39272,40036.06124,162919501.2,4069.318912
1627430400000,2021-07-28 0:00:00,BTC/USD,39490,40900,38803,40017,319315595,7979.498588
1627344000000,2021-07-27 0:00:00,BTC/USD,37265.9335,39589,36418,39500,239592252,6065.626633
1627257600000,2021-07-26 0:00:00,BTC/USD,35413,40595,35233,37270,608023978.5,16314.03216
1627171200000,2021-07-25 0:00:00,BTC/USD,34288,35444,33886,35415,98488951.89,2780.995394
1627084800000,2021-07-24 0:00:00,BTC/USD,33650,34527,33422,34279,81010061.95,2363.256278
1626998400000,2021-07-23 0:00:00,BTC/USD,32320.2601,33650,32020,33650,133568321.7,3969.340911
1626912000000,2021-07-22 0:00:00,BTC/USD,32154,32610,31735,32320,169119412.4,5232.655087
1626825600000,2021-07-21 0:00:00,BTC/USD,29814,32850,29523,32154,265532998.2,8258.16378
1626739200000,2021-07-20 0:00:00,BTC/USD,30866,31079,29313,29809,264644728.4,8878.014303
1626652800000,2021-07-19 0:00:00,BTC/USD,31820.47851,31928,30500,30865,395063565.4,12799.72673
1626566400000,2021-07-18 0:00:00,BTC/USD,31559,32453,31111,31820,394928275.4,12411.32229
1626480000000,2021-07-17 0:00:00,BTC/USD,31427,32000,31210,31560,432613275.6,13707.64498
1626393600000,2021-07-16 0:00:00,BTC/USD,31893.73825,32271,31044,31428,169141113.4,5381.860551
1626307200000,2021-07-15 0:00:00,BTC/USD,32821,33200,31150,31890,221853217.4,6956.827137
1626220800000,2021-07-14 0:00:00,BTC/USD,32729,33128,31588,32822.64316,170431953.6,5192.511547
1626134400000,2021-07-13 0:00:00,BTC/USD,33077.77262,33337,32190,32730,131733939.3,4024.868296
1626048000000,2021-07-12 0:00:00,BTC/USD,34249,34655,32600,33078,278139805,8408.604056
1625961600000,2021-07-11 0:00:00,BTC/USD,33503,34590,33316,34244,73683234.74,2151.712263
1625875200000,2021-07-10 0:00:00,BTC/USD,33768,34242,33011,33505.02923,216403689.8,6458.841994
1625788800000,2021-07-09 0:00:00,BTC/USD,32846,34059,32237,33769,225045733.7,6664.270003
1625702400000,2021-07-08 0:00:00,BTC/USD,33886,33939,32063,32857,469605492.6,14292.40322
1625616000000,2021-07-07 0:00:00,BTC/USD,34255.06206,35091,33810,33889,118812155.2,3505.920955
1625529600000,2021-07-06 0:00:00,BTC/USD,33670.52239,35196,33555,34255,304350618.9,8884.852399
1625443200000,2021-07-05 0:00:00,BTC/USD,35278,35280,33126,33672.36649,259828830.1,7716.381628
1625356800000,2021-07-04 0:00:00,BTC/USD,34689,35950,34376,35276,103344192.4,2929.589307
1625270400000,2021-07-03 0:00:00,BTC/USD,33818,34948,33350,34682,102888650.8,2966.629686
1625184000000,2021-07-02 0:00:00,BTC/USD,33519.46745,33983,32700,33816,173998196.4,5145.439921
1625097600000,2021-07-01 0:00:00,BTC/USD,35062,35069,32720,33554.42277,192028465,5722.895795
1625011200000,2021-06-30 0:00:00,BTC/USD,35918.54134,36099,34428,35063,120164509.1,3427.102903
1624924800000,2021-06-29 0:00:00,BTC/USD,34494.84233,36600,34226.75253,35922.41743,198063271.3,5513.639823
1624838400000,2021-06-28 0:00:00,BTC/USD,34743,35319,33897,34494.48338,213077809.4,6177.156128
1624752000000,2021-06-27 0:00:00,BTC/USD,32348,34794,32066,34744,997592183.1,28712.6463
1624665600000,2021-06-26 0:00:00,BTC/USD,31584,32661,30206,32355.66424,664446210.2,20535.69988
1624579200000,2021-06-25 0:00:00,BTC/USD,34657,35495,31264,31584.73245,1189853465,37671.7918
1624492800000,2021-06-24 0:00:00,BTC/USD,33697.2959,35290,32343,34665,168325385.8,4855.773427
1624406400000,2021-06-23 0:00:00,BTC/USD,32572.01808,34778,31790,33691,307938059.4,9140.068844
1624320000000,2021-06-22 0:00:00,BTC/USD,31723.19669,33368,29247,32572,875231079.5,26870.65822
1624233600000,2021-06-21 0:00:00,BTC/USD,35653,35832,31368,31726.38732,744057146.7,23452.3124
1624147200000,2021-06-20 0:00:00,BTC/USD,35569.32875,36226.37662,33411,35631,603261267.6,16930.79811
1624060800000,2021-06-19 0:00:00,BTC/USD,35846,36447,34819,35570,411407162.8,11566.12771
1623974400000,2021-06-18 0:00:00,BTC/USD,38074,38184.09867,35137,35845,409389287,11421.09881
1623888000000,2021-06-17 0:00:00,BTC/USD,38345,39519,37387,38073,134718245.8,3538.419505
1623801600000,2021-06-16 0:00:00,BTC/USD,40143,40460,38121,38346,260495205.9,6793.282374
1623715200000,2021-06-15 0:00:00,BTC/USD,40509,41273,39445.88757,40137,312217749.9,7778.801352
1623628800000,2021-06-14 0:00:00,BTC/USD,38998.89298,40980,38732,40509,394195905.7,9731.06978
1623542400000,2021-06-13 0:00:00,BTC/USD,35563.58742,39374,34800,38998.89298,350548518,8988.678685
1623456000000,2021-06-12 0:00:00,BTC/USD,37338,37461.34593,34630,35564,262336285.8,7376.456128
1623369600000,2021-06-11 0:00:00,BTC/USD,36680,37650,35929,37338,239638059.6,6418.074338
1623283200000,2021-06-10 0:00:00,BTC/USD,37369,38337,35816,36663,350758563.1,9567.099341
1623196800000,2021-06-09 0:00:00,BTC/USD,33416,37499,32469,37368,1007950330,26973.62263
1623110400000,2021-06-08 0:00:00,BTC/USD,33572,34052,31075,33402,431712912.6,12924.76237
1623024000000,2021-06-07 0:00:00,BTC/USD,35781,36784,33338,33572,334662054.3,9968.487259
1622937600000,2021-06-06 0:00:00,BTC/USD,35542,36475,35218,35780,232981836.6,6511.510247
1622851200000,2021-06-05 0:00:00,BTC/USD,36844,37924,34822.56648,35535,234088827.9,6587.556717
1622764800000,2021-06-04 0:00:00,BTC/USD,39225.51465,39275,35586,36844,218507185.2,5930.60431
1622678400000,2021-06-03 0:00:00,BTC/USD,37582.37086,39482,37179,39226,225738828.2,5754.826601
1622592000000,2021-06-02 0:00:00,BTC/USD,36673,38222,35933,37577,149231914.7,3971.363192
1622505600000,2021-06-01 0:00:00,BTC/USD,37279.80894,37888,35659,36673,193825965.9,5285.249799
